Name;Country;ProneAccuracy;StandingAccuracy;SkiSpeed;Stamina;Gender;Age
KYDASIOUK Sofia;ARG;44.615;56.923;6.291;54.238;WOMEN;26
DOMINGUEZ Maria Cecilia;ARG;73.000;17.000;1.000;60.968;WOMEN;44
MORTON Darcie;AUS;71.765;65.882;41.716;61.606;WOMEN;26
FRANZKE Rosie;AUS;74.286;62.857;27.011;54.921;WOMEN;18
MOON Isabella;AUS;65.714;60.000;7.690;59.859;WOMEN;22
MORTON Damika;AUS;84.000;80.000;8.112;67.839;JWOMEN;17
HAUSER Lisa Theresa;AUT;86.769;80.769;68.657;75.830;WOMEN;32
GANDLER Anna;AUT;89.318;80.227;67.571;69.718;WOMEN;24
ANDEXER Anna;AUT;86.486;74.595;64.097;77.533;WOMEN;22
STEINER Tamara;AUT;90.515;88.041;49.553;78.145;WOMEN;28
ROTHSCHOPF Lea;AUT;82.133;80.533;57.572;73.955;WOMEN;24
ZDOUC Dunja;AUT;92.394;79.718;54.648;64.985;WOMEN;31
WAGNER Lara;AUT;80.606;72.424;59.563;74.266;WOMEN;23
JUPPE Anna;AUT;80.227;64.545;63.113;72.838;JWOMEN;26
OSL Lisa;AUT;78.444;71.556;48.858;74.754;JWOMEN;25
LEITINGER Julia;AUT;87.273;69.091;42.544;73.859;JWOMEN;29
ANHAUS Wilma;AUT;84.727;71.636;41.588;73.149;JWOMEN;22
MILLINGER Anna;AUT;76.061;73.333;44.381;72.305;JWOMEN;20
OBERTHALER Kristina;AUT;92.308;85.385;45.905;49.575;JWOMEN;27
GANNER Selina;AUT;78.333;80.000;43.284;59.621;JWOMEN;17
PITZER Leonie;AUT;78.000;83.600;39.047;60.281;JWOMEN;23
PINTER Lena;AUT;83.529;78.824;25.692;75.479;JWOMEN;20
STOLLBERGER Rosaly;AUT;95.000;91.000;20.365;65.211;JWOMEN;19
SCHREMPF Anna-Maria;AUT;80.408;77.959;26.618;72.783;JWOMEN;20
HEIGL Selina;AUT;83.333;75.833;24.553;70.058;JWOMEN;21
WOLF Anna-lena;AUT;76.735;77.959;19.022;67.644;JWOMEN;19
CLOETENS Maya;BEL;94.706;86.078;62.875;68.557;WOMEN;23
LIE Lotte;BEL;93.019;86.038;60.931;78.032;WOMEN;30
BOUVARD Eve;BEL;75.806;74.194;52.137;71.131;WOMEN;26
DE MAEYER Rieke;BEL;87.368;81.053;29.392;77.420;WOMEN;33
EMONTS Marisa;BEL;87.000;83.000;25.125;67.678;WOMEN;20
DEBLOEM Marine;BEL;79.355;69.032;8.536;67.551;WOMEN;20
GROSS Lea;BEL;60.541;78.378;1.586;74.707;JWOMEN;22
FINK Ella;BEL;46.667;40.000;19.051;34.168;JWOMEN;16
JUGOVIC Teodora;BIH;56.000;20.000;1.000;46.756;JWOMEN;17
SMOLSKAYA Dzinara;BLR;82.899;88.406;65.049;71.423;WOMEN;29
SOLA Hanna;BLR;77.015;69.552;69.456;74.159;WOMEN;29
SHAKLEINA Irina;BLR;69.630;77.284;57.143;73.431;WOMEN;30
KULAK Alena;BLR;85.091;83.636;47.841;67.128;WOMEN;21
VARABEI Kseniia;BLR;76.389;78.611;50.713;68.696;WOMEN;25
SABITAVA Adelina;BLR;84.483;84.828;37.924;68.344;WOMEN;28
DOLIDOVICH Darya;BLR;73.704;67.407;43.063;71.067;WOMEN;21
MAKARSKAYA Anna;BLR;87.692;73.846;32.083;69.561;JWOMEN;20
SHASHKOVA Victoriia;BLR;83.636;74.545;31.606;69.044;JWOMEN;20
PIESTEREVA Anna;BLR;77.600;75.200;25.105;73.227;JWOMEN;21
ZAITSAVA Alina;BLR;82.857;85.714;16.108;58.553;JWOMEN;22
BRUNELLO Gaia;BRA;77.895;85.263;27.725;47.514;WOMEN;23
WESTEMAIER RIBERA Eduarda;BRA;54.000;56.000;3.450;69.221;WOMEN;21
PICIN Mirlene;BRA;43.333;38.333;1.000;29.358;JWOMEN;45
TODOROVA Milena;BUL;91.250;76.042;67.906;76.383;WOMEN;27
HRISTOVA Lora;BUL;94.107;84.821;57.600;76.444;WOMEN;22
DIMITROVA Valentina;BUL;86.269;83.284;47.945;63.526;WOMEN;22
ZDRAVKOVA Maria;BUL;80.755;62.264;47.344;76.584;WOMEN;27
YOLOVA Stefani;BUL;68.571;62.857;31.716;67.451;WOMEN;22
CHAVDAROVA Bilyana;BUL;90.698;80.930;11.931;64.006;WOMEN;20
ADZHAMOVA Raya;BUL;73.333;72.444;22.066;68.915;JWOMEN;18
GEORGIEVA Irina;BUL;78.113;74.340;12.841;74.239;JWOMEN;19
RAKOVA Paolina;BUL;81.667;71.667;1.000;59.502;JWOMEN;17
KLENOVSKA Nikol;BUL;71.000;70.000;6.884;69.523;JWOMEN;18
MINCHEVA Desislava;BUL;56.129;75.484;14.795;63.765;JWOMEN;17
DZHANDREVA Yoana;BUL;72.000;60.000;13.706;58.271;JWOMEN;17
PETKOVA Nikol;BUL;61.429;50.000;13.388;67.347;JWOMEN;16
YORDANOVA Stefani;BUL;68.000;44.000;5.044;73.547;JWOMEN;16
VODENICHAROVA Sandra;BUL;52.800;64.800;1.000;55.455;JWOMEN;17
MOSER Nadia;CAN;87.143;77.143;61.124;62.917;WOMEN;28
PARADIS Pascale;CAN;85.000;76.842;59.377;73.387;WOMEN;23
ROUSSEAU Shilo;CAN;81.270;80.317;58.109;60.909;WOMEN;25
PEIFFER Benita;CAN;82.143;79.643;51.258;75.443;WOMEN;25
GREEN Moira;CAN;72.857;78.929;42.343;73.260;WOMEN;21
CSONKA Flora;CAN;94.286;77.143;31.511;59.407;WOMEN;18
DICKSON Emily;CAN;81.639;76.066;37.315;59.218;JWOMEN;28
CHLEPKOVA Ema;CAN;81.600;78.400;27.402;66.510;JWOMEN;22
GOWLING Gillian;CAN;79.000;83.000;29.308;51.658;JWOMEN;26
MORGAN Quinn;CAN;80.000;60.000;32.494;56.745;JWOMEN;24
GRUNDAHL Janice;CAN;93.000;90.000;23.814;34.511;JWOMEN;25
HULSHOF Alexandra;CAN;92.000;60.000;13.510;68.868;JWOMEN;21
TAYLOR Sage;CAN;75.000;83.333;11.309;66.142;JWOMEN;19
TURNER Aliah;CAN;80.000;64.000;15.818;63.392;JWOMEN;19
PERRY Anna;CAN;86.667;73.333;1.000;26.961;JWOMEN;22
GLASSFORD Moira;CAN;71.429;48.571;12.687;61.556;JWOMEN;17
KLAFKI Nadia;CAN;85.000;60.000;1.000;23.782;JWOMEN;19
STECK DIETZ Maike;CHI;77.143;70.476;1.000;31.640;WOMEN;20
MENG Fanqi;CHN;92.653;90.204;51.951;80.519;WOMEN;27
CHU Yuanmeng;CHN;92.143;87.857;48.493;76.070;WOMEN;26
TANG Jialin;CHN;87.879;80.606;49.499;52.440;WOMEN;34
ZHOU Yang;CHN;70.000;82.500;37.387;78.509;WOMEN;25
YANG Lianhong;CHN;80.000;73.333;22.049;79.452;JWOMEN;23
WEN Ying;CHN;71.111;80.000;24.521;67.134;JWOMEN;30
KOZICA Anika;CRO;86.441;70.508;43.375;63.728;WOMEN;28
MORIC Iva;CRO;84.000;80.000;34.603;64.968;WOMEN;21
SOBOL Ema;CRO;72.857;71.429;25.626;65.874;WOMEN;18
LEGOVIC Ines;CRO;35.000;54.375;19.620;51.265;JWOMEN;16
VOBORNIKOVA Tereza;CZE;90.781;87.500;64.819;76.779;WOMEN;25
DAVIDOVA Marketa;CZE;78.667;76.889;71.412;85.862;WOMEN;28
JISLOVA Jessica;CZE;90.462;79.692;56.956;76.239;WOMEN;31
CHARVATOVA Lucie;CZE;80.926;65.926;66.618;74.033;WOMEN;32
VINKLARKOVA Tereza;CZE;85.122;75.122;55.328;72.190;WOMEN;27
PLECHACOVA Ilona;CZE;89.091;74.545;52.441;64.818;WOMEN;19
OTCOVSKA Kristyna;CZE;86.087;71.304;48.676;79.258;WOMEN;25
MIKOLASOVA Heda;CZE;74.603;69.841;50.047;75.053;JWOMEN;19
PETROSOVA Tereza;CZE;93.333;84.444;30.216;74.946;JWOMEN;18
PAVLU Katerina;CZE;87.586;81.609;46.395;55.684;JWOMEN;22
JANDUROVA Lucie;CZE;85.128;81.026;39.467;64.352;JWOMEN;18
